,"Arabic"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD, ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","إلى الحد الأقصى الذي يسمح به القانون المعمول به، لا تعتبر المجموعة مسؤولة تجاه العميل، أي مستخدم، أو أي شخص آخر عن أية أضرار خاصة أو عرضية أو عقابية  أو غير مباشرة، أو أي ضمانات، سواء في أي عمل أو عقد، الأسهم، المسؤولية الصارمة، المسؤولية التقصيرية (بما في ذلك، ولكن ليس على سبيل الحصر، الإهمال) أو غيرها من نظرية المسؤولية (بما في ذلك، ولكن ليس على سبيل الحصر، خرق الضمان) الناشئة من أي وسيلة مرتبطة مع أو فيما يتعلق باستخدام أو أداء أو عدم القدرة على استخدام Futureed أو أي خطأ أو حذف أو عدم الدقة الواردة في أي بيانات أو معلومات أو تسجيل النتائج التي حصل عليها من خلال أو الناتجة عن استخدام Futureed أو من أي خسارة أو تلف البيانات أو المعلومات أو السجلات الأخرى، حتى لو تم إخبار المجموعة من إمكانية حدوث مثل هذه الأضرار أو مثل هذا الاحتمال بما في ذلك (ولكن ليس على سبيل الحصر) الأضرار الناجمة عن فقدان الاستخدام، التأخير أو خسارة العمل، وفقدان الإيرادات أو الأرباح أو الادخار، فقدان أو تلف البيانات أو المعلومات أو السجلات الأخرى، وفقدان الخصوصية، وضياع السمعة، والمسؤولية لأطراف أخرى، والتي تنشأ عن أو في أي وسيلة مرتبطة مع أو تتعلق باستخدام أو أداء أو عدم القدرة على استخدام Futureed أو الناشئة أو في أي وسيلة مرتبطة مع أو فيما يتعلق باستخدام أو عدم القدرة على استخدام أي بيانات أو معلومات أخرى، أو النتائج المتحصلة أو الناتجة عن استخدام أو عدم القدرة على استخدام Futureed، أي فقدان أو تلف البيانات أو المعلومات أو السجلات الأخرى، أو الناجمة عن أي فشل في تلبية أي التزام، بما في ذلك (ولكن ليس على سبيل الحصر) أي التزام يخص حسن النية أو العناية التجارية، أو الناشئة عن أي مسار تعاملي، الأداء، الاستخدام أو التجارة، أو غير ذلك، حتى لو تم إخبار المجموعة أو Futureed حول إمكانية حدوث مثل هذه الأضرار أو إذا كان هذا متوقعا."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA’S TOTAL LIABILITY AND OBLIGATION ARISING OUT OF OR IN ANY MANNER CONNECTED WITH OR RELATING TO THE CUSTOMER’S OR ANY USER’S USE OR INABILITY TO USE FUTUREED PTE LTD, OR THE RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD IS LIMITED TO DIRECT DAMAGES WHICH SHALL NOT IN ANY EVENT EXCEED ONE HUNDRED SINGAPORE DOLLARS (S$100.00) IN THE AGGREGATE. TO THE MAXIMUM EXTEND PERMITTED BY APPLICABLE LAW, THIS LIMITATION APPLIES REGARDLESS AS TO WHETHER THE LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTY, OR ANY OTHER LEGAL THEORY.","إلى الحد الأقصى الذي يسمح به القانون المعمول به، مسؤولية المجموعة والتزامها الناشئ عن أو بأي شكل من الأشكال المرتبط أو المتعلقة باستخدام الزبون أو استخدام أي مستخدم أو عدم القدرة على استخدام Futureed ، أو النتائج التي تم الحصول عليها من استخدام Futureed إلى الأضرار المباشرة التي لا يجوز في أي حال أن تتجاوز مائة دولار سنغافوري. إلى الحد الأقصى الذي يسمح به القانون المعمول به، هذا الشرط ينطبق بغض النظر عما إذا كان يستند على إلغاء أو خرق العقد، المسؤولية التقصيرية (بما في ذلك، ولكن ليس على سبيل الحصر، الإهمال)، المسؤولية الصارمة، خرق الضمان، أو أي نظرية قانونية أخرى. '"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","إلى الحد الأقصى الذي يسمح به القانون المعمول به، لن تحضر، تطلب، تنضم، أو تشارك في إجراء صفي أو حل الخلافات الصفية لأي دعوى أو مطالبة أو دعوى أو سبب الدعوى ضد المجموعة، Futureed الناشئة من أو المرتبطة بأي وسيلة مرتبطة مع Futureed، استخدامك لموقع Futureed، أو أي اختبار أو غيرها من المنتجات أو الخدمات التي تم الحصول عليها من خلال Futureed، وأنت تتنازل عن أي حق لك الآن أو في المستقبل لحضور، طلب، والانضمام أو المشاركة في أي دعوى أو التحكيم أو إجراءات أخرى أو للمشاركة كممثل أو عضوا عن أي صف من المطالبين بأي ادعاء، طلب، دعوى أو سبب الدعوى الناشئة من، المتصلة أو في أي وسيلة مرتبطة باستخدامك l,ru Futureed، أو أي اختبار، أو منتج أو خدمة أخرى يتم الحصول عليها من خلال موقع Futureed. لا يشكل هذا الحكم تنازلا عن أي من الحقوق والتعويضات الخاصة بك لرفع دعوى بشكل فردي، وليس إجراء فصلي، تحكيم فصلي أو أساس موحد أو كممثل أو عضو في أية فئة من المطالبين.، "
"Severability","القابلية"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","في حال كان حكم أو أكثر من هذه الأحكام غير صالح أو غير قانوني أو غير قابل للتنفيذ، سوف يتم تعديل هذه الأحكام، إن أمكن، إلى الحد الأدنى الضروري لجعلها صالحة وسارية المفعول، أو إذا لم يمكن تعديل ذلك، فسيتم قبولها كما هي، في حين تبقى الأحكام المتبقية الواردة هنا دون أي تأثير أو تغيير"
"Jurisdiction and Governing Law",
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","تخضع صحة، وبناء، وإنفاذ وتفسير هذه الشروط وشروط الاستخدام لقوانين سنغافورة."
"Waiver","إذا كان هناك أي أسئلة بخصوص هذه السياسة يمكنك الاتصال بنا باستخدام المعلومات الواردة أدناه"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","لا يعني إخفاق المجموعة في فرض الامتثال الصارم لأي شرط من هذه الشروط تنازلا عن الحق في هذا الحكم لاحقا."
"Your Consent","موافقتك، "
"By using our site, you consent to our terms and conditions as written in this agreement.","باستخدام موقعنا، فإنك توافق على الشروط والأحكام المكتوبة في هذا الاتفاق.، "
"Contacting Us","التواصل معنا، "
"If there are any questions regarding this policy you may contact us using the information below.","إذا كان هناك أي أسئلة بخصوص هذه السياسة، يمكنك الاتصال بنا باستخدام المعلومات الواردة أدناه"
,
,
"Please answer all the questions on this page before proceeding to the next page","الرجاء الإجابة على جميع الأسئلة في هذه الصفحة قبل الانتقال إلى الصفحة التالية"
"Please read the examples carefully to understand the instructions before clicking NEXT","يرجى قراءة الأمثلة بعناية لفهم التعليمات قبل النقر على زر التالي"
