"DO NOT EDIT","Thai"
"Q & A","คำถามและคำตอบ"
"View Image","ดูรูปภาพ"
"View Module","แสดงส่วนนี้"
"Add Bulk Discount","เพิ่มส่วนลดจำนวนมาก"
"Minimum Seats","จำนวนที่นั่งขั้นต่ำ"
"Percentage","ร้อยละ"
"Percentage List","รายการร้อยละ"
"Update Bulk Discount","อัพเดตส่วนลดจำนวนมาก"
"Age Group","กลุ่มอายุ"
"Add Client Discount","เพิ่มส่วนลดลูกค้า"
"Client Discount List","รายชื่อส่วนลดของลูกค้า"
"Update Client Discount","อัพเดทส่วนลดลูกค้า"
"Discount Percentage","ส่วนลดร้อยละ"
"Add Price","เพิ่มราคา"
"Days","วัน"
"Price List","รายการราคา"
"Update Price","อัพเดทราคา"
"Subscription Name","ชื่อสมาชิก"
"Bulk Settings","การตั้งค่าเพิ่มเติม"
"Client Discount","ส่วนลดลูกค้า"
"Price & Discount","ราคาและส่วนลดพิเศษ"
"Price Settings","การตั้งราคา"
"Answer Code","รหัสคำตอบ"
"Answer Image","ภาพคำตอบ"
"Answer List","รายการคำตอบ"
"Correct Answer","คำตอบที่ถูกต้อง"
"oordinate","จัดตั้ง"
"Count","นับ"
"Delete Answer","ลบคำตอบ"
"Are you sure you want to delete this Answer?","คุณแน่ใจหรือไม่ว่าต้องการลบคำตอบนี้ ?"
"Field","สนาม"
"Field Name","ชื่อสนาม"
"Label","ฉลาก"
"Points Equivalent","จุดคุ้มทุน"
"-- Select Answer --","- เลือกคำตอบ -"
"X Axis","แกน X"
"Y Axis","แกน Y"
"X Coordinates","พิกัด X"
"Y Coordinates","พิกัด Y"
"Points Earned","คะแนนสะสม"
"Graph","แผนภูมิ"
"Horizontal","ตามแนวนอน"
"Multiple Choice","ทางเลือกอื่นๆ"
"Order|Orders","สั่งซื้อ|สั่งซื้อ"
"Orientation","การแนะนำ"
"Provide","ข้อกำหนด "
"Quadrant","จตุภาค"
"Question Details","รายละเอียดของคำถาม"
"Question Image","ภาพคำถาม"
"answer should be comma separated to indicate the order.","คำตอบจะต้องคั่นด้วยเครื่องหมายจุลภาคเพื่อบ่งชี้ถึงการสั่งซื้อ"
"required information","ข้อมูลที่จำเป็น"
"Question Text","ข้อความคำถาม"
"Question Type","ประเภทของคำถาม"
"-- Select Orientation --","เลือกการแนะนำ"
"-- Select Question Type --","- เลือกประเภทคำถาม -"
"Vertical","แนวตั้ง"
"Add Q & A","เพิ่ม คำถามและคำตอบ"
"Delete Question","ลบคำถาม"
"Question List","รายการคำถาม"
"Delete Image","ลบรูปภาพ"
"Are you sure you want to delete this image?","คุณแน่ใจว่าต้องการลบรูปภาพนี้หรือไม่?"
"Delete Student","ลบนักศึกษา"
"Are you sure you want to delete this account?","คุณแน่ใจว่าต้องการลบบัญชีผู้ใช้นี้หรือไม่?"
"Date Earned","วันที่ได้รับ"
"Delete Badge","ลบป้ายออก"
"Are you sure you want to delete this Badge?","คุณแน่ใจหรือไม่ว่าคุณต้องการลบป้ายนี้หรือไม่?"
"Edit Points","แก้ไขคะแนน"
"Edit Badges","แก้ไขป้าย"
"Event","เหตุการณ์สำตัญ"
"Manual","คู่มือ"
"Student Management","การบริหารนักศึกษา"
"Student List","รายชื่อนักศึกษา"
"Badge name","ป้ายชื่อ"
"Point History","ประวัติคะแนน"
"Student Details","รายละเอียดนักศึกษา"
"View Rewards","ชมรางวัล"
"Add Subject","เพิ่มรายวิชา"
"Subject Code","รหัสวิชา"
"Delete Subject","ลบรายวิชา"
"Are you sure you want to delete this subject?","คุณแน่ใจว่าต้องการลบรายวิชานี้หรือไม่?"
"Add Subject Area","เพิ่มกลุ่มวิชา"
"Area Code","รหัสพื้นที่"
"Subject Name","ชื่อรายวิชา"
"Delete Subject Area","ลบกลุ่มวิชา"
"Are you sure you want to delete this subject area?","คุณแน่ใจหรือว่าต้องการลบกลุ่มวิชานี้หรือไม่?"
