"DO NOT EDIT","Bahasa Malaysia"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","HINGGA SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, ANDA TIDAK AKAN MEMBAWA, MEMINTA, MENYERTAI ATAU MENYERTAI TINDAKAN KELAS ATAU PROSIDING PENIMBANGTARAAN KELAS TERHADAP SEBARANG TUNTUTAN, PERMINTAAN, GUAMAN SIVIL ATAU PUNCA TINDAKAN YANG ANDA MUNGKIN ADA TERHADAP KCG, FUTUREED PTE LTD TIMBUL DARIPADA, BERKAITAN ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN LAMAN FUTUREED PTE LTD, PENGGUNAAN LAMAN FUTUREED PTE LTD, ATAU MANA-MANA UJIAN ATAU PRODUK ATAU PERKHIDMATAN LAIN DIPEROLEHI MELALUI LAMAN FUTUREED PTE LTD, DAN ANDA MENGETEPIKAN DAN MELEPASKAN SEBARANG HAK ANDA SEKARANG ATAU MASA DEPAN YANG MUNGKIN ADA UNTUK MEMBAWA, MEMINTA, MENYERAI ATAU MENYERTAI SEBARANG TUNTUTAN MAHKAMAH ATAU PENIMBANGTARAAN ATAU PROSIDING LAIN ATAS TINDAKAN KELAS ATAU ASAS CONSOLIDATED ATAU MENYERTAI SEBAGAI WAKIL ATAU AHLI SEBARANG KELAS PIHAK YANG MENUNTUT SEBARANG TUNTUTAN, PERMINTAAN, GUAMAN SIVIL ATAU PUNCA TINDAKAN YANG TIMBUL DARIPADA, BERKAITAN ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN PENGGUNAAN LAMAN FUTUREED PTE LTD, ATAU MANA-MANA UJIAN ATAU PRODUK ATAU PERKHIDMATAN LAIN YANG DIPEROLEHI MELALUI LAMAN FUTUREED PTE LTD . PERUNTUKAN INI TIDAK MEMBENTUK PENEPIAN SEBARANG HAK DAN REMEDI ANDA UNTUK MEMBUAT TUNTUTAN SECARA INDIVIDU DAN TIDAK PADA TINDAKAN KELAS, KELAS PENIMBANGTARAAN ATAU ASAS CONSOLIDATED ATAU SEBAGAI WAKIL ATAU AHLI SEBARANG KELAS PIHAK MENUNTUT."
"Severability","Kebolehasingan"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","Sekiranya mana-mana satu atau lebih peruntukan ini harus tidak dijadikan sah, menyalahi undang-undang atau tidak boleh dikuatkuasakan, peruntukan tersebut akan diubah, jika boleh, sampai tahap minimum yang  diperlukan untuk menjadikan mereka sah dan boleh dikuatkuasakan, atau jika mereka tidak boleh diubah, maka boleh dipisahkan dan peruntukan yang masih terkandung di dalam ini tidak akan terjejas atau terjejas dalam apa jua cara."
"Jurisdiction and Governing Law","Bidang Kuasa dan Undang-undang"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","Kesahan, pembentukan, penguatkuasaan dan tafsiran Terma dan Syarat Penggunaan ini adalah ditadbir oleh undang-undang Singapura."
"Waiver","Penepian, "
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","Kegagalan OCGA untuk menguatkuasakan mana-mana pelaksanaan Syarat ini tidak membentuk penepian hak untuk menguatkuasakan peruntukan tersebut."
"Your Consent","Persetujuan Anda"
"By using our site, you consent to our terms and conditions as written in this agreement.","Dengan melayari laman web kami, anda bersetuju dengan terma dan syarat seperti yang termaktub dalam perjanjian ini."
"Contacting Us","Hubungi Kami"
"If there are any questions regarding this policy you may contact us using the information below.","Jika terdapat sebarang soalan mengenai dasar ini anda boleh menghubungi kami dengan menggunakan maklumat di bawah."
"Please answer all the questions on this page before proceeding to the next page","Sila jawab semua soalan pada halaman ini sebelum teruskan ke halaman yang seterusnya"
"Please read the examples carefully to understand the instructions before clicking NEXT","Sila baca contoh dengan teliti untuk memahami arahan sebelum klik SETERUSNYA"
