"DO NOT EDIT","Vietnamese"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA’S TOTAL LIABILITY AND OBLIGATION ARISING OUT OF OR IN ANY MANNER CONNECTED WITH OR RELATING TO THE CUSTOMER’S OR ANY USER’S USE OR INABILITY TO USE FUTUREED PTE LTD, OR THE RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD IS LIMITED TO DIRECT DAMAGES WHICH SHALL NOT IN ANY EVENT EXCEED ONE HUNDRED SINGAPORE DOLLARS (S$100.00) IN THE AGGREGATE. TO THE MAXIMUM EXTEND PERMITTED BY APPLICABLE LAW, THIS LIMITATION APPLIES REGARDLESS AS TO WHETHER THE LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTY, OR ANY OTHER LEGAL THEORY.","Trong phạm vi tối đa pháp luật cho phép, tất cả trách nhiệm pháp lý và nghĩa vụ của KCGA phát sinh hay từ bất kỳ cách nào liên kết hay liên quan đến việc sử dụng hay không sử dụng được của khách hàng và người dùng; hoặc các kết quả đạt được từ việc sử dụng Futureed Pte Ltd được giới hạn trực tiếp đến các thiệt hại trực tiếp mà tổng số không được vượt quá 100 đô-la Singapore. Trong phạm vi tối đa pháp luật cho phép, việc hạn chế này được áp dụng bất kể là trách nhiệm pháp lý dựa trên việc vi phạm hợp đồng, việc làm có hại (bao gồm nhưng không giới hạn do sơ suất), trách nhiệm nghiêm ngặt, vi phạm cam kết hây bất kỳ nguyên lý pháp lý khác."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","Trong phạm vi tối đa pháp luật cho phép, bạn sẽ không được đưa ra, yêu cầu, góp sức hay tham gia vào vụ kiện hoặc tiến trình phân xử tập thể như bất kỳ khiếu nại, yêu cầu, thình cầu hay tố tụng của vụ kiện phát sinh ra chống lại KCGA, Futureed Pte Ltd liên quan đến hoặc liên kết với trang chủ Futureed Pte Ltd, việc sử dụng trang chủ Futureed Pte Ltd, bất thử nghiệm hay các sản phẩm dịch vụ khác của bạn thông qua trang chủ Futureed Pte Ltd; và bạn sẽ khước từ cũng như từ bỏ bất kỳ quyền hạn nào bạn đang và sẽ có thể đưa ra, yêu cầu hay tham gia vào bất kỳ tố tụng hay phân xử hoặc những tiến trình khác trong vụ kiện tập thể hay củng cố cơ sở hoặc tham gia như là người đại diện hay thành viên của bất kỳ tập thể nguyên đơn có liên quan đến bất kỳ khiếu nại, yêu cầu, thình cầu hay tố tụng của vụ kiện phát sinh liên quan đến hay liên kết với việc sử dụng Futureed Pte Ltd, bất kỳ thử nghiệm, sản phẩnm hay dịch vụ có được thông qua trang chủ Futureed Pte Ltd của bạn. Quy định này không được coi là thiết lập từ bỏ quyền và bồi thường của bạn để thực hiện khiếu nại cá nhân và không phải là trong vụ kiện, phân xử tập thể hay củng cố cơ sở hoặc tham gia như là người đại diện hay thành viên của bất kỳ tập thể nguyên đơn nào."
"Severability","Hiệu lực từng phần"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","Trong trường hợp bất kỳ một hay nhiều quy định nào có giá trị không hợp lệ, bất hợp pháp hoặc không thể thực thi, các quy định đó sẽ được sửa đổi nếu có thể đến mức tối thiểu cần thiết để làm cho chúng có giá trị và được thi hành; hoặc nếu không thể sửa đổi được thì có thể tách ra, và các điều khoản còn lại sẽ không cách nào bị ảnh hưởng hay suy kém."
"Jurisdiction and Governing Law","Thẩm quyền và Luật điều chỉnh"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","Hiệu lực, việc xây dựng, thực thi và giải thích các Điều khoản và Điều kiện sử dụng là để điều chỉnh luật pháp của Singapore."
"Waiver","Quyền khước từ"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","Việc KCGA thất bại trong thúc ép thực hiện chặt chẽ mọi điều khoản của các khoản không được coi là thiết lập từ bỏ quyền rồi thực thi các điều khoản đó"
"Your Consent","Sự đồng ý của bạn"
"By using our site, you consent to our terms and conditions as written in this agreement.","Bằng cách sử dụng trang web của chúng tôi, bạn đồng ý với các điều khoản và điều kiện như được viết trong bản thoả thuận này."
"Contacting Us","Liên hệ với chúng tôi"
"If there are any questions regarding this policy you may contact us using the information below.","Nếu có bất kỳ câu hỏi liên quan đến chính sách này, bạn có thể liên hệ với chúng tôi theo thông tin dưới đây."
"Please answer all the questions on this page before proceeding to the next page","Vui lòng trả lời tất cả các câu hỏi trên trang này trước khi tiếp tục đến trang tiếp theo"
"Please read the examples carefully to understand the instructions before clicking NEXT","Vui lòng đọc các ví dụ một cách cẩn thận để hiểu thêm về các hướng dẫn trước khi bấm TIẾP"
