"DO NOT EDIT","Mynmmar"
"Password Reset","စကားဝှက် ပြန်သတ်မှတ်ပါ"
"Forgot Password","စကားဝှက် မေ့နေပါသလား"
"Add Admin User","ကြီးကြပ်အသုံးပြုသူကို ပေါင်းထည့်ပါ"
"Super Admin","စူပါကြီးကြပ်သူ"
"Delete Admin","ကြီးကြပ်သူ ပယ်ဖျက်ပါ"
"Are you sure you want to delete this admin user,?","ဤကြီးကြပ်အသုံးပြုသူကို ပယ်ဖျက်ရန် သေချာသလား"
"Edit Email Address","အီးမေးလ်လိပ်စာ ပြင်ဆင်ပါ"
"New Email Address","အီးမေးလ်လိပ်စာ အသစ်"
"Add Admin","ကြီးကြပ်သူ ပေါင်းထည့်ပါ"
"Admin List","ကြီးကြပ်သူ စာရင်း"
"An email has been sent to ","အီးမေးလ်ကို ပေးပို့လိုက်သည်"
"with the password that you have set.","သင်သတ်မှတ်ထားသော စကားဝှက်ဖြင့်"
"View Admin User","ကြီးကြပ်အသုံးပြုသူကို ကြည့်ပါ"
"Edit Admin User","ကြီးကြပ်အသုံးပြုသူကို ပြင်ဆင်ပါ"
"Add Age Group","အသက်အရွယ်အုပ်စု ပေါင်းထည့်ပါ"
"-- Select Age --","အသက် ရွေးပါ"
"Total Points Earned","ရရှိသော အမှတ် စုစုပေါင်း"
"Edit Age Group","အသက်အရွယ်အုပ်စု ပြင်ဆင်ပါ"
"Age Group List","အသက်အရွယ်အုပ်စုစာရင်း"
"Delete Age Group","အသက်အရွယ်အုပ်စု ပယ်ဖျက်ပါ"
"Are you sure you want to delete this age group?","ဤအသက်အရွယ်အုပ်စုကို ပယ်ဖျက်ချင်တာ သေချာသလား"
"Client Announcement","ဖောက်သည် ကြေညာချက်"
"Successfully created this announcement.","ဤကြေညာချက်ကို အောင်မြင်စွာ ဖန်တီးပြီးပြီ"
"Your Message","သင့်မက်ဆေ့ချ်"
"Add Client","ဖောက်သည် ပေါင်းထည့်ပါ"
"Client Details","ဖောက်သည် အသေးစိတ်"
"Delete Client","ဖောက်သည် ပယ်ဖျက်ပါ"
"Are you sure you want to delete this account?","ဤအကောင့်ကို ပယ်ဖျက်ချင်တာ သေချာသလား"
"Records Not Inserted","မှတ်တမ်းများ မထည့်သွင်းထားပါ"
"Registered Users","မှတ်ပုံတင်ထားသော အသုံးပြုသူများ"
"Not Registered","မှတ်ပုံမတင်ထားပါ"
"Client List","ဖောက်သည်စာရင်း"
"Import Teacher","ဆရာ ပေါင်းထည့်ပါ"
"Add Content","အကြောင်းအရာ ပေါင်းထည့်ပါ"
"Content Code","အကြောင်းအရာ ကုဒ်"
"Content Text","အကြောင်းအရာ စာသား"
"Module Details","မော်ဂျူး အသေးစိတ်"
"Media Type","မီဒီယာအမျိုးအစား"
"-- Select Media Type --","မီဒီယာ ရွေးပါ"
"Teaching Module Name","သင်ကြားရေး မော်ဂျူး အမည်"
"Video Url","ဗီဒီယို Url"
"Video url should have this format:","ဗီဒီယို url သည် ဤဖောမတ် ဖြစ်သင့်သည်"
"https://player.vimeo.com/video/{video_id}","https://player.vimeo.com/video/{video_id}"
"View Content Image","အကြောင်းအရာ ရုပ်ပုံကိုကြည့်ပါ"
"Delete Module Content","မော်ဂျူး အကြောင်းအရာကို ဖျက်ပါ"
"Are you sure you want to delete this content?","ဤအကြောင်းအရာကို ဖျက်လိုတာ သေချာသလား"
"Module Content List","မော်ဂျူး ကြောင်းအရာစာရင်း"
"Add Grade","အဆင့် ပေါင်းထည့်ပါ"
"Grade Name","အဆင့် အမည်"
"Grade Code","အဆင့် ကုဒ်"
"Group","အုပ်စု"
"-- Select Age Group --","အသက်အရွယ်အုပ်စု ရွေးပါ"
"Delete Grade","အဆင့်ကို ပယ်ဖျက်ပါ"
"Are you sure you want to delete this grade?","ဤအဆင့်ကို ပယ်ဖျက်လိုတာ သေချာပါသလား"
"Update Grade","အဆင့်ကို အသစ်ပြင်ပါ"
"Grade List","အဆင့် စာရင်း"
"Grade Management","အဆင့် စီမံခန့်ခွဲမှု"
"Delete Help Request","အကူအညီ တောင်းဆိုမှုကို ပယ်ဖျက်ပါ"
"Are you sure you want to delete this help request?","ဤအကူအညီ တောင်းဆိုမှုကို ပယ်ဖျက်လိုတာ သေချာပါသလား"
"Request Content","တောင်းဆိုမှု အကြောင်းအရာ"
"Request Details","တောင်းဆိုမှုအသေးစိတ်"
"-- Select Type --","အမျိုးအစား ရွေးပါ"
"Request Status","တောင်းဆိုမှု အခြေအနေ"
"Help Request Title","အကူအညီတောင်းဆိုမှု ခေါင်းစဉ်"
"Help Request List","အကူအညီတောင်းဆိုမှု စာရင်း"
"Delete Help Request Answer","အကူအညီတောင်းဆိုမှု အဖြေကို ပယ်ဖျက်ပါ"
"Are you sure you want to delete this help request answer?","ဤအကူအညီတောင်းဆိုမှု အဖြေကို ပယ်ဖျက်လိုတာ သေချာသလား"
"Answer Content","အဖြေ အကြောင်းအရာ"
"Answer Details","အဖြေ အသေးစိတ်"
"Request Answer Status","အဖြေအခြေအနေကို တောင်းဆိုပါ"
"Help Answer List","အကူအညီအဖြေ စာရင်း"
"Invoice List","ငွေတောင်းခံလွှာ စာရင်း"
"Invoice Management","ငွေတောင်းခံလွှာ စီမံခန့်ခွဲမှု"
"Order Number","အမှာစာအမှတ်"
"Order #","အမှာစာ"
"-- Select Status --","အခြေအနေ ရွေးပါ"
"Invoice No","ငွေတောင်းခံလွှာ အမှတ်"
"Order List","အမှာစာ စာရင်း"
"Back to Class List","အတန်းစာရင်းသို့ ပြန်သွားပါ"
"View All Students under this Order","ဤအမှာစာအောက်မှ ကျောင်းသားအားလုံးကို ကြည့်ပါ"
"Administrator Logs","ကြီးကြပ်သူ မှတ်တမ်းများ"
"Error Logs","အမှားမှတ်တမ်းများ"
"Security Logs","လုံခြုံရေးမှတ်တမ်းများ"
"System Logs","စနစ်မှတ်တမ်းများ"
"Users Logs","အသုံးပြုသူမှတ်တမ်းများ"
"Administrator","ကြီးကြပ်သူ"
"Error|Errors","အမှား | အမှားများ"
"Users","အသုံးပြုသူများ"
"Security","လုံခြုံရေး"
"System","စနစ်"
"API Accessed","API ကို ချိတ်ဆက်ထားသည်"
"Info","အချက်အလက်"
"Log Details","မှတ်တမ်း အသေးစိတ်"
"Page Accessed","Page ကို ချိတ်ဆက်ထားသည်"
"-- Select Response Code --","တုန့်ပြန်မှုကုဒ်ကို ရွေးပါ"
"Response Status","တုန့်ပြန်မှု အခြေအနေ"
"-- Select Admin Type --","ကြီးကြပ်သူအမျိုးအစားကို ရွေးပါ"
"Admin Type","ကြီးကြပ်သူအမျိုးအစား"
"Value","တန်ဖိုး"
"Download","ဒေါင်းလုတ်ယူပါ"
"Log Files","မှတ်တမ်း ဖိုင်များ"
"Agent Used","အသုံးပြုထားသော အေးဂျင့်"
"HTTP Response","HTTP တုံ့ပြန်မှု"
"Log Type","မှတ်တမ်း အမျိုးအစား"
"-- Select Log Type --","မှတ်တမ်း အမျိုးအစား ရွေးပါ"
"-- Select User Type --","အသုံးပြုသူအမျိုးအစား ရွေးပါ"
